QTDE;FAIXA_NOTA_CH
327;650.0
865;475.0
969;500.0
853;575.0
1063;500.0
903;550.0
841;425.0
852;475.0
820;400.0
681;600.0
862;400.0
628;350.0
910;425.0
657;350.0
822;375.0
875;475.0
833;425.0
901;450.0
588;625.0
594;625.0
919;475.0
872;425.0
856;425.0
1074;525.0
1026;500.0
999;500.0
599;350.0
848;475.0
229;675.0
818;450.0
829;450.0
878;575.0
891;575.0
868;425.0
965;550.0
847;425.0
690;350.0
883;475.0
847;450.0
872;475.0
968;475.0
322;325.0
837;425.0
917;475.0
858;400.0
786;575.0
828;425.0
929;550.0
870;425.0
885;425.0
982;500.0
441;650.0
767;600.0
901;475.0
971;550.0
511;625.0
875;550.0
477;625.0
854;400.0
685;600.0
217;675.0
1012;500.0
863;450.0
270;650.0
858;425.0
585;350.0
1056;550.0
842;450.0
325;325.0
1026;525.0
1015;500.0
713;600.0
820;450.0
1020;525.0
173;325.0
1012;500.0
1016;550.0
844;400.0
1040;525.0
772;600.0
145;700.0
903;550.0
892;550.0
796;575.0
565;625.0
832;425.0
125;700.0
1094;525.0
81;725.0
1054;525.0
5067;0.0
306;675.0
752;375.0
717;575.0
961;550.0
1024;550.0
613;600.0
435;625.0
916;575.0
408;650.0
751;375.0
1043;500.0
955;550.0
1109;525.0
919;475.0
869;450.0
1111;525.0
737;375.0
1074;500.0
989;550.0
963;500.0
984;550.0
787;375.0
888;425.0
1088;525.0
1009;500.0
668;600.0
312;650.0
1103;525.0
894;450.0
788;425.0
834;400.0
1042;525.0
682;600.0
635;325.0
860;475.0
929;500.0
541;625.0
975;550.0
888;450.0
861;575.0
785;375.0
812;450.0
903;475.0
639;625.0
821;375.0
546;350.0
652;625.0
839;425.0
957;500.0
820;450.0
1081;525.0
214;675.0
940;475.0
844;575.0
908;425.0
642;600.0
1045;525.0
627;600.0
883;450.0
166;700.0
848;425.0
940;475.0
449;650.0
890;400.0
876;450.0
938;550.0
681;600.0
773;600.0
863;375.0
803;375.0
352;325.0
68;725.0
1112;525.0
995;500.0
258;675.0
870;425.0
905;475.0
1063;525.0
815;400.0
927;450.0
961;475.0
612;625.0
120;700.0
852;575.0
604;350.0
1094;525.0
871;400.0
536;350.0
999;500.0
348;325.0
978;550.0
755;375.0
840;450.0
1062;500.0
943;475.0
802;575.0
870;400.0
1015;550.0
931;475.0
984;550.0
803;400.0
659;625.0
548;625.0
894;425.0
1073;525.0
779;575.0
804;575.0
993;500.0
1065;525.0
1029;500.0
1039;525.0
335;325.0
860;425.0
957;550.0
649;350.0
974;550.0
36;750.0
681;350.0
1064;525.0
864;400.0
732;375.0
799;575.0
773;600.0
847;450.0
830;425.0
1027;550.0
110;700.0
742;600.0
1036;550.0
556;350.0
692;600.0
852;475.0
797;400.0
552;350.0
830;450.0
520;350.0
788;375.0
1031;525.0
962;500.0
852;375.0
1011;525.0
914;475.0
513;625.0
302;650.0
852;425.0
1017;550.0
617;350.0
817;575.0
400;650.0
886;400.0
1054;525.0
1012;500.0
908;425.0
277;675.0
845;450.0
828;575.0
740;600.0
859;425.0
974;550.0
31;750.0
728;600.0
774;375.0
878;550.0
847;475.0
891;475.0
850;425.0
60;725.0
780;400.0
679;600.0
724;375.0
474;650.0
961;550.0
864;400.0
722;600.0
857;425.0
819;575.0
788;375.0
810;375.0
817;400.0
893;575.0
1025;500.0
707;600.0
934;550.0
909;550.0
788;375.0
767;600.0
820;375.0
942;475.0
891;575.0
841;400.0
881;575.0
886;425.0
612;625.0
780;375.0
712;600.0
401;350.0
870;425.0
887;450.0
724;350.0
79;725.0
913;450.0
1097;525.0
986;550.0
869;450.0
455;625.0
1013;550.0
840;450.0
815;475.0
868;475.0
787;375.0
830;425.0
787;575.0
832;400.0
291;675.0
828;375.0
827;375.0
935;500.0
765;575.0
521;350.0
874;450.0
819;375.0
84;700.0
901;475.0
997;550.0
969;500.0
870;575.0
402;350.0
204;675.0
1121;525.0
364;325.0
307;650.0
840;375.0
716;375.0
719;600.0
672;350.0
827;450.0
856;450.0
982;500.0
963;500.0
998;550.0
1026;525.0
705;600.0
833;575.0
1064;550.0
841;400.0
834;400.0
141;700.0
191;675.0
500;625.0
966;525.0
856;400.0
916;575.0
900;475.0
225;325.0
1030;525.0
705;375.0
738;600.0
824;575.0
903;475.0
704;375.0
851;425.0
810;400.0
811;575.0
1083;525.0
1097;525.0
932;475.0
696;350.0
531;350.0
511;625.0
865;575.0
681;350.0
797;575.0
530;350.0
692;625.0
609;350.0
783;575.0
1116;525.0
862;425.0
855;400.0
909;425.0
1054;525.0
694;375.0
820;425.0
681;625.0
814;400.0
448;350.0
415;650.0
899;550.0
877;400.0
1044;550.0
901;575.0
595;350.0
1056;525.0
1080;500.0
1007;550.0
821;400.0
856;450.0
1089;525.0
666;625.0
795;450.0
912;475.0
796;400.0
873;425.0
725;375.0
1009;500.0
975;550.0
666;600.0
854;475.0
838;425.0
649;600.0
891;575.0
858;425.0
1032;550.0
977;550.0
1124;525.0
1080;500.0
887;450.0
867;450.0
826;375.0
1117;525.0
1094;525.0
848;450.0
339;650.0
868;425.0
858;425.0
816;450.0
848;475.0
925;450.0
974;550.0
523;350.0
876;575.0
847;450.0
218;675.0
1028;500.0
368;325.0
828;450.0
841;425.0
435;350.0
922;500.0
793;600.0
850;450.0
714;350.0
882;400.0
531;350.0
248;325.0
742;600.0
1004;550.0
804;375.0
831;475.0
837;425.0
525;350.0
481;625.0
397;650.0
752;600.0
793;375.0
855;425.0
674;350.0
