QTDE;FAIXA_NOTA_LC
406;625.0
519;425.0
558;625.0
1367;575.0
1396;500.0
1260;575.0
394;375.0
400;400.0
1436;500.0
1444;550.0
1076;475.0
1440;500.0
1348;500.0
1208;475.0
386;400.0
960;600.0
994;475.0
1469;550.0
1504;525.0
1370;575.0
931;450.0
1450;550.0
1530;525.0
1286;575.0
1525;550.0
1189;575.0
1357;500.0
1272;475.0
483;625.0
1511;550.0
796;450.0
1496;550.0
401;400.0
1316;500.0
1295;475.0
1175;475.0
1466;550.0
1512;500.0
1314;475.0
1262;475.0
405;400.0
1465;550.0
1513;525.0
514;425.0
1088;575.0
1004;450.0
1442;500.0
1357;500.0
1392;500.0
450;400.0
467;625.0
1393;550.0
1517;550.0
472;625.0
450;625.0
473;625.0
1290;475.0
773;600.0
348;625.0
995;450.0
1255;575.0
856;600.0
1014;450.0
261;375.0
1531;525.0
339;375.0
299;375.0
1085;575.0
1206;475.0
1492;550.0
1313;550.0
1456;500.0
1398;550.0
355;375.0
1484;525.0
716;425.0
1424;550.0
549;425.0
1417;500.0
593;625.0
481;625.0
1469;550.0
1319;550.0
988;450.0
1193;575.0
1564;525.0
542;625.0
1377;500.0
748;425.0
240;650.0
1314;575.0
1495;550.0
1043;575.0
1380;550.0
1526;550.0
1417;550.0
1469;550.0
1484;550.0
703;600.0
1518;550.0
674;600.0
375;400.0
1540;525.0
1540;550.0
1444;500.0
1396;550.0
482;400.0
1434;550.0
873;450.0
1394;500.0
1171;575.0
1296;475.0
1540;525.0
646;425.0
429;400.0
1267;575.0
719;600.0
204;650.0
795;450.0
805;450.0
846;450.0
1524;550.0
366;400.0
1230;575.0
1491;525.0
203;350.0
1106;475.0
1511;525.0
1490;550.0
1277;575.0
1414;500.0
867;600.0
1233;575.0
1553;525.0
1200;475.0
467;625.0
174;350.0
641;425.0
1438;550.0
1423;500.0
1538;525.0
1558;550.0
613;425.0
463;625.0
1507;500.0
1060;600.0
1353;500.0
1328;575.0
1441;550.0
400;625.0
1086;475.0
900;600.0
438;400.0
445;400.0
1399;550.0
1161;575.0
