QTDE;FAIXA_NOTA_MT
235;700.0
448;350.0
789;475.0
746;475.0
763;475.0
201;725.0
752;375.0
607;575.0
425;325.0
239;700.0
661;525.0
861;425.0
887;400.0
613;550.0
785;450.0
678;575.0
869;425.0
846;450.0
877;400.0
318;675.0
808;375.0
941;400.0
698;500.0
746;475.0
424;650.0
610;575.0
724;375.0
850;400.0
85;775.0
808;450.0
421;350.0
543;625.0
861;425.0
896;400.0
447;350.0
264;325.0
597;600.0
422;650.0
887;400.0
610;600.0
516;350.0
936;425.0
930;425.0
928;400.0
608;575.0
682;525.0
756;475.0
340;675.0
462;350.0
631;575.0
708;525.0
585;625.0
815;450.0
156;725.0
717;525.0
718;500.0
222;700.0
780;375.0
567;600.0
527;625.0
806;375.0
462;325.0
709;500.0
756;375.0
832;450.0
691;550.0
698;525.0
673;550.0
879;400.0
772;375.0
649;550.0
863;450.0
672;525.0
865;400.0
718;475.0
468;650.0
95;775.0
705;550.0
820;450.0
676;525.0
490;625.0
685;550.0
21;850.0
529;625.0
876;425.0
478;625.0
655;575.0
692;500.0
53;825.0
878;450.0
741;550.0
725;525.0
413;325.0
665;525.0
313;675.0
946;400.0
366;675.0
653;350.0
654;550.0
787;375.0
590;625.0
903;425.0
574;600.0
862;425.0
758;375.0
624;600.0
727;500.0
895;425.0
918;400.0
885;450.0
679;575.0
725;475.0
514;625.0
414;650.0
841;375.0
447;325.0
875;400.0
226;700.0
835;400.0
604;550.0
360;675.0
873;400.0
558;350.0
874;425.0
565;625.0
672;550.0
896;375.0
302;675.0
579;625.0
807;375.0
599;575.0
793;450.0
732;450.0
328;675.0
705;575.0
655;525.0
898;400.0
498;625.0
812;475.0
697;550.0
914;400.0
696;525.0
800;475.0
886;425.0
232;700.0
811;375.0
637;350.0
445;650.0
377;650.0
893;400.0
624;525.0
648;575.0
563;625.0
839;375.0
68;800.0
723;525.0
129;750.0
758;475.0
853;375.0
603;600.0
767;375.0
869;450.0
630;600.0
26;850.0
873;450.0
869;425.0
642;575.0
796;475.0
724;475.0
754;475.0
907;400.0
680;550.0
846;425.0
852;450.0
681;500.0
900;400.0
560;600.0
781;475.0
435;650.0
810;475.0
711;500.0
687;550.0
923;400.0
702;500.0
592;600.0
631;600.0
751;375.0
737;500.0
629;575.0
762;475.0
747;375.0
51;825.0
676;350.0
787;475.0
826;450.0
781;375.0
717;350.0
862;400.0
316;675.0
524;625.0
792;375.0
312;675.0
656;575.0
648;575.0
202;725.0
617;575.0
676;575.0
575;600.0
549;350.0
786;450.0
895;400.0
580;575.0
769;475.0
654;350.0
621;600.0
795;450.0
912;400.0
625;600.0
591;600.0
340;675.0
71;775.0
320;675.0
327;325.0
956;425.0
836;450.0
274;675.0
401;350.0
827;375.0
532;625.0
761;475.0
706;475.0
684;575.0
812;375.0
145;325.0
634;550.0
245;700.0
677;600.0
693;500.0
454;650.0
795;375.0
751;475.0
202;325.0
201;725.0
773;450.0
155;725.0
490;625.0
724;475.0
843;450.0
843;475.0
781;375.0
673;575.0
884;450.0
649;350.0
914;425.0
644;525.0
410;350.0
848;425.0
636;525.0
683;525.0
603;600.0
860;425.0
519;625.0
623;525.0
680;550.0
