UF_PROVA;MEDIA_CN;MEDIA_CH;MEDIA_LC;MEDIA_MT;MEDIA_REDACAO;MEDIA_GERAL
SP;512.59;542.07;551.82;558.32;601.47;553.2517409370107
PA;467.78;485.69;499.1;478.15;554.06;496.954992875778
RO;476.56;493.05;507.0;492.17;537.39;501.2344517206551
SC;509.84;538.91;542.77;552.07;592.29;547.1748942488966
MG;508.01;535.57;542.23;550.53;614.23;550.1123711886265
RJ;501.44;530.19;542.61;537.57;605.17;543.3952310612792
MT;482.96;504.64;516.79;505.87;555.49;513.1520418062705
PR;507.99;536.51;541.79;546.86;581.41;542.9137696530553
BA;476.59;495.43;511.49;493.92;564.17;508.3205192876224
RN;486.75;507.07;520.78;515.26;583.47;522.6643947869725
MA;462.66;480.54;496.87;475.54;545.39;492.1978703670977
RS;497.3;530.39;541.21;536.9;587.42;538.6449416614494
CE;481.16;503.45;516.23;513.71;582.18;519.3447649331789
AL;471.79;489.13;505.95;492.74;566.5;505.2238113842566
PB;477.85;497.69;510.98;501.78;577.3;513.1218386412833
AP;462.19;482.33;495.3;467.37;533.07;488.05495911692407
DF;503.51;530.61;541.5;534.51;586.92;539.4095167864128
PI;471.08;488.95;502.27;492.05;569.17;504.70465870685007
PE;481.9;500.37;518.2;510.53;570.85;516.3688813731925
AM;467.32;491.39;492.27;482.24;527.86;492.217649332537
MS;488.35;509.79;524.15;513.31;557.85;518.6899515087892
GO;491.15;513.16;526.28;517.75;588.08;527.2835906658801
AC;464.63;482.94;502.67;473.07;537.02;492.06506922372415
ES;505.14;528.27;534.55;540.51;595.42;540.775196173491
SE;481.41;498.25;510.14;498.07;589.5;515.4761778474665
TO;469.28;487.24;503.53;488.84;547.14;499.20764314247685
RR;478.45;499.52;512.81;491.98;536.11;503.7735344410396
